1,Sorail Upzilla Uposhakha,1
2,Kawtali Uposhakha  Brahmanbaria,2
3,Sarak Bazar Uposhakha Brahmanbaria,3
4,Nandanpur Uposhakha Brahmanbaria,4
5,Nasirnagar Uposhakha Brahmanbaria,5
6,Nobinagar Uposhakha Brahmanbaria,6
7,Biswaroad Point Brahmanbaria,7
8,Fulbaria Brahmanbaria Uposhakha,8
9,Krishnanagar Bazar Uposhakha Bbaria,9
10,Islampur Bazar Upo. Brahmanbaria,10
11,Gas Field Gate  Brahmanbaria,11
12,Bijoynagar Amtoli Bazar,12
13,Ramu Uposhakha Coxs Bazar,20
14,Court Bazar Uposhakha Coxs Bazar,21
15,Eidgah Bazar Uposhakha Coxs Bazar,22
16,Sonar Para Uposhakha Coxs Bazar,23
17,Teknaf Uposhakha Coxs Bazar,24
18,Link Road Coxs Bazar Uposhakha,25
19,Naikhongchari Uposhakha Bandarban,26
20,Hnila Bazar Uposhakha Coxs Bazar,27
21,Shamlapur Bazar Upo Coxs Bazar,28
22,Moricha Uposhakha Coxs Bazar,29
23,Oxygen MoorUposhakha Chattogram,30
24,Kaptai Rastar Matha Uposhakha,31
25,Sharafvata Uposhakha Chattagram,32
26,Marium Nagar Uposhakha Chattogram,33
27,Madunaghat Uposhakha  Chattogram.,34
28,Dovashi Bazar Uposhakha,35
29,Rangunia Uposhakha Chattogram,36
30,Sarkerhat Uposhakha  Chattogram,40
31,Aman Bazar Uposhakha  Chattogram,41
32,Raozan Uposhakha Chattogram,42
33,Gohira Uposhakha Chattogram,43
34,Madanhat Uposhakha Chattrogram,44
35,Katirhat Uposhakha Chattogram,45
36,Chowdhuryhat Uposhakha Chattogram,46
37,Temohoni Bazar Uposhakha Chattogram,55
38,Nazirhat Uposhakha Chattogram,56
39,Boidyer Hat Uposhakha Chattogram,57
40,Noajishpur Uposhakha Chattogram,58
41,Kazirhat Uposhakha Chattogram,59
42,Narayanhat Uposhakha Chattogram,60
43,Choto Kumira Uposhakha Chattogram,70
44,Baro Awlia Uposhakha Chattogram,71
45,Shiberhat Uposhakha Chattogram,72
46,Bhairab Bazar Uposhakha Kishoreganj,85
47,Talshahar Uposhakha Brahmanbaria,86
48,Kamolpur Uposhakha Kishoreganj,87
49,Lalpur Brahmanbaria UPOSHAKHA,88
50,Araisidha Bazar Upo Brahmanbaria,89
51,Reserve Bazar Uposhakha Rangamati,105
52,Debashish Nagor Upo. Rangamati,106
53,Tabalchari Uposhakha Rangamati,107
54,Ranirhat Uposhakha Chattogram,108
55,Dighinala Khagrachhari,109
56,Shantirhat Uposhakha Chattogram,115
57,College Bazar Uposhakha Chattogram,116
58,Rawshanhat Uposhakha Chattogram,117
59,Jaldi Uposhakha Chattogram,118
60,Kala Bibi Dighi Chattogram,119
61,Bailchari Uposhakha Chattogram,120
62,Time Bazar Uposhakha Chattogram,121
63,Rustomhat Uposhakha Chattogram,122
64,Char Patharghata Upo  Chattogram,123
65,Tantar Bazar Uposhakha Brahmanbaria,125
66,Kasba Uposhakha Brahmanbaria,126
67,Champaknagar Upo. Brahmanbaria,127
68,Kuti Chowmohani Upo. Brahmanbaria,128
69,Nayanpur Bazar Upo Brahmanbaria,129
70,Bazalia Uposhakha Chattogram,136
71,Komol Munshir Hat Chattogram,137
72,Adunagar Bazar Uposhakha Chattogram,138
73,Balaghata Uposhakha Bandarban,139
74,Dohazari Uposhakha Chattogram,140
75,Padua Uposhakha Chattagram,141
76,Fultola Bazar Satkania Chattogram,142
77,Mirzakhil Uposhakha Chattogram,143
78,Chambal Bazar Uposhakha Chattogram,144
79,Gachbaria Uposhakha Chattogram,145
80,Chunti Bazar Uposhakha Chattogram,146
81,Matarbari Moheskhali Coxs Bazar,147
82,Pekua Uposhakha Coxs Bazar,148
83,Napura Uposhakha Chattogram,149
84,Dulahazara Coxs Bazar,150
85,Manu Fakir Bazar Chattogram,176
86,Satghatia Pukur Par Chattogram,177
87,Satkania Uposhakha Chattogram,179
88,Kadamtoli Uposhakha  Sylhet,250
89,Jitu Miah s Point Uposhakha Sylhet,251
90,Pirijpur Uposhakha Sylhet,252
91,Boroikandi Uposhakha Sylhet,253
92,TB Gate Sylhet Uposhakha Sylhet,254
93,Sylhet Station Road  Sylhet,255
94,Gowainghat Bazar Uposhakha Sylhet,256
95,Kanaighat Bazar Uposhakha Sylhet,257
96,Jaflong Uposhakha Sylhet,258
97,Golapganj Sylhet Sylhet,259
98,Tuker Bazar Uposhakha Sylhet,260
99,Modina Market Uposhakha Sylhet,261
100,Osmani Medical College Road  Sylhet,262
101,Shamsher NagarUpo. Moulvi Bazar,270
102,Sarkar Bazar Bus Stand  Moulvibazar,271
103,Tengra Bazar Moulvibazar,272
104,Adampur Bazar Uposhakha Moulvibazar,280
105,Bhoirab Bazar Sreemangal,281
106,Kamalganj Uposhakha Moulvi Bazar,282
107,Shibganj Bazar Uposhakha Sylhet,290
108,Fenchuganj Uposhakha Sylhet,291
109,Lala Bazar Uposhakha  Sylhet,292
110,Shahabazpur Uposhakha MoulviBazar,300
111,Ashirganj Bazar Uposhakha Sylhet,301
112,Majortila Uposhakha Sylhet,310
113,Khasdobir Point Uposhakha Sylhet,311
114,Lama Bazar Uposhakha Sylhet,312
115,Tajpur Uposhakha Sylhet,320
116,Khadimpur Bazar Uposhakha  Sylhet,321
117,Sherpur Sylhet Moulvibazar,322
118,Shahestaganj Bazar Uposhakha,325
119,Olipur Highway Uposhakha,326
120,Chunarughat Uposhakha,327
121,Court Station Road Uposhakha Habi.,328
122,Nabiganj Upozilla Habiganj,329
123,Mirpur Bazar Uposhakha Habiganj,330
124,Baniachang Uposhakha Habiganj,331
125,Umednagar Shilpa Elaka  Habiganj,332
126,Aushkandi Uposhakha Habiganj,333
127,Asampara Bazar Uposhakha Habiganj,334
128,Phandauk Bazar Upo. Brahmanbaria,335
129,Noapara Bazar Uposhakha Habiganj,336
130,Montola Bazar Uposhakha Habiganj,337
131,Dharmaghar Bazar Uposhakha Habiganj,338
132,Chatian Madhabpur Habiganj,339
133,Choumuhani Bazar Madhabpur Habiganj,340
134,Barlekha Uposhakha Moulvibazar,345
135,Kulaura Uposhakha Moulvi Bazar,346
136,Brahman Bazar Upo Moulvi Bazar,347
137,Gabindaganj Sunamganj Uposhakha,351
138,Puran Munsafi Road Upo Habiganj,361
139,Jaintapur Uposhakha Sylhet,371
140,Nathullahbad Uposhakha Barisal,400
141,Rupatali Uposhakha Barisal,401
142,Barishal Bazar Road Uposhakha,402
143,Barishal Chawk Bazar Upo. Barishal,403
144,Dhamura Bandar Uposhakha Barishal,404
145,Chowmatha Uposhakha Barishal,405
146,Kalaya Bandar Uposhakha Patuakhali,406
147,Bauphal Bazar Uposhakha Patuakhali,407
148,Bangla Bazar Barishal Barishal,408
149,Shikarpur Uposhakha Barishal,409
150,Amtali Chowrasta Uposhakha Barguna,410
151,Batajor Bazar Barishal Barishal,411
152,Torki Bandar Uposhakha Barishal,412
153,Bakerganj Uposhakha Barishal,413
154,Kalisuri Bazar Uposhakha Patuakhali,414
155,Alipur Uposhakha Patuakhali,415
156,Gouranadi Uposhakha Barishal,416
157,Daulatkhan Uposhakha Bhola,420
158,Bhola Banglabazar Uposhakha Bhola,421
159,Poranganj Uposhakha Bhola,422
160,Charfassion Uposhakha Bhola,423
161,Kunjer Hat Uposhakha Bhola,424
162,Rajapur Uposhakha Jhalokathi,435
163,Amua Bazar Uposhakha Jhalokathi,436
164,Pirojpur Sadar Uposhakha Pirojpur,437
165,Mathbaria Bazar Uposhakha  Pirojpur,438
166,Kawkhali Pirojpur,439
167,Bamna Uposhakha Barguna,440
168,Indurkani Bazar Uposhakha Pirojpur,441
169,Patuakhali Puran Bazar Uposhakha,451
170,Boga Bazar Uposhakha  Patuakhali,452
171,Tushkhali Bazar Uposhakha  Pirojpur,461
172,Nirala Uposhakha  Khulna,550
173,Daulatpur Uposhakha Khulna,551
174,Koiya Bazar Uposhakha Khulna,552
175,Batiaghata Uposhakha Khulna,553
176,Dumuria Uposhakha Khulna,554
177,Paikgacha Uposhakha Khulna,555
178,Sener Bazar Uposhakha Khulna,556
179,Rupsha Ghat Uposhakha Khulna,557
180,Keshabpur Bazar Uposhakha Jashore,558
181,Mongla Bazar Uposhakha Bagerhat,559
182,Pulerhat Uposhakha  Jashore,560
183,Palbari Moor Uposhakha  Jashore,561
184,Monihar Bus Stand Uposhakha Jashore,562
185,Monirampur Uposhakha Jashore,563
186,Jashore Kolabagan Uposhakha Jashore,564
187,Satmail Bazar Uposhakha Jashore,565
188,Narail Sadar Uposhakha Narail,566
189,Chowgacha Bazar Uposhakha Jashore,567
190,Lohagara Bazar Uposhakha Narail,568
191,Langalbandha Uposhakha Jhenaidah,569
192,Chourhash Uposhakha  Kushtia,570
193,Bheramara Uposhakha Kushtia,571
194,Gangni Uposhakha Kushtia,572
195,Meherpur Sadar Meherpur,573
196,Sheikhpara Bazar Jhinaidah,574
197,Chuadanga Sadar Uposhakha Chuadanga,575
198,Panch Raster More Uposhakha Kushtia,576
199,Kumarkhali Uposhakha Kushtia,577
200,Harinarayanpur Uposhakha Kushtia,578
201,Sarajganj Bazar Uposhakha Chuadanga,579
202,Kulia Bazar Uposhakha Satkhira,580
203,Jhawdanga Bazar Uposhakha Satkhira,581
204,Patkelghata Uposhakha Satkhira,582
205,Parulia Bazar Uposhakha,583
206,Kalaroa Uposhakha Satkhira,584
207,Brahmarajpur Bazar Upo Satkhira,585
208,Mujgunni Uposhakha Khulna,590
209,Rupsha Stand Road Uposhakha Khulna,591
210,Khulna New Market Uposhakha Khulna,592
211,Nurbag Main Road Uposhakha Jashore,600
212,Basundia More Uposhakha Jashore,601
213,Gobra Bazar Uposhakha Narail,602
214,Vatpara Bazar Uposhakha Jashore,603
215,Nehalpur Bazar Uposhakha Jashore,604
216,Maijpara Bazar Uposhakha Narail,605
217,Mohajan Bazar Uposhakha Narail,606
218,Fultola Bazar Uposhakha  Khulna,607
219,Baganchra Uposhakha Jashore,610
220,Navaron Uposhakha Jashore,611
221,Jhikargacha Uposhakha Jashore,612
222,Bankra Uposhakha Jashore,613
223,Chutipur Bazar Uposhakha Jashore,614
224,Kotchandpur Uposhakha Jhenaidah,620
225,Barobazar Uposhakha Jhenaidah,621
226,Bhatai Bazar Uposhakha Jhenidah,622
227,Jhenaidah Sadar Uposhakha Jhenaidah,623
228,Shailkupa Bazar Uposhakha Jhenaidah,624
229,Harinakunda Uposhakha Jhenaidah,625
230,Maheshpur Uposhakha Jhenaidah,626
231,Dak Bangla Bazar Jhenaidah,627
232,Hatgopalpur Jhenaidah,628
233,Amla Bazar Uposhakha  Kushtia,630
234,Trimohoni Bazar Uposhakha  Kushtia,631
235,Khoksha Uposhakha Kushtia,632
236,Kushtia Mirpur Bazar Kushtia,633
237,Halsha Bazar Uposhakha Kushtia,634
238,Alamdanga Uposhakha Chuadanga,635
239,Khajanagar Bazar Kushtia,636
240,Badhal Bazar Uposhakha Bagerhat,640
241,Jatrapur Uposhakha Bagerhat,641
242,Chitalmari Bazar Bagherhat,642
243,Fakirhat Uposhakha Bagerhat,643
244,Morrelganj Uposhakha,644
245,Foylahat Uposhakha Bagerhat,645
246,Digraj Bagerhat,646
247,Gollamari Uposhakha  Khulna,650
248,Labonchara Bazar Uposhakha Khulna,651
249,Sheikhpara Power House Upo.  Khulna,652
250,Boyra Uposhakha Khulna,653
251,Moylapota Uposhakha Khulna,654
